userId,movieId,rating,timestamp
1.0,1.0,4.0,964982703
1.0,3.0,4.0,964981247
1.0,6.0,4.0,964982224
1.0,47.0,5.0,964983815
1.0,50.0,5.0,964982931
1.0,70.0,3.0,964982400
1.0,101.0,5.0,964980868
1.0,110.0,4.0,964982176
1.0,151.0,5.0,964984041
1.0,157.0,5.0,964984100
1.0,163.0,5.0,964983650
1.0,216.0,5.0,964981208
1.0,223.0,3.0,964980985
1.0,231.0,5.0,964981179
1.0,235.0,4.0,964980908
1.0,260.0,5.0,964981680
1.0,296.0,3.0,964982967
1.0,316.0,3.0,964982310
1.0,333.0,5.0,964981179
1.0,349.0,4.0,964982563
1.0,356.0,4.0,964980962
1.0,362.0,5.0,964982588
1.0,367.0,4.0,964981710
1.0,423.0,3.0,964982363
1.0,441.0,4.0,964980868
1.0,457.0,5.0,964981909
1.0,480.0,4.0,964982346
1.0,500.0,3.0,964981208
1.0,527.0,5.0,964984002
1.0,543.0,4.0,964981179
1.0,552.0,4.0,964982653
1.0,553.0,5.0,964984153
1.0,590.0,4.0,964982546
1.0,592.0,4.0,964982271
1.0,593.0,4.0,964983793
1.0,596.0,5.0,964982838
1.0,608.0,5.0,964982931
1.0,648.0,3.0,964982563
1.0,661.0,5.0,964982838
1.0,673.0,3.0,964981775
1.0,733.0,4.0,964982400
1.0,736.0,3.0,964982653
1.0,780.0,3.0,964984086
1.0,804.0,4.0,964980499
1.0,919.0,5.0,964982475
1.0,923.0,5.0,964981529
1.0,940.0,5.0,964982176
1.0,943.0,4.0,964983614
1.0,954.0,5.0,964983219
1.0,1009.0,3.0,964981775
1.0,1023.0,5.0,964982681
1.0,1024.0,5.0,964982876
1.0,1025.0,5.0,964982791
1.0,1029.0,5.0,964982855
1.0,1030.0,3.0,964982903
1.0,1031.0,5.0,964982653
1.0,1032.0,5.0,964982791
1.0,1042.0,4.0,964981179
1.0,1049.0,5.0,964982400
1.0,1060.0,4.0,964980924
1.0,1073.0,5.0,964981680
1.0,1080.0,5.0,964981327
